country,date,price
US,2020-03-09,2746.5601
US,2020-03-06,2972.3701
US,2020-03-05,3023.9399
US,2020-03-04,3130.1201
US,2020-03-03,3003.3701
US,2020-03-02,3090.2300
US,2020-02-28,2954.2200
US,2020-02-27,2978.7600
US,2020-02-26,3116.3899
US,2020-02-25,3128.2100
US,2020-02-24,3225.8899
US,2020-02-21,3337.7500
US,2020-02-20,3373.2300
US,2020-02-19,3386.1499
US,2020-02-18,3370.2900
US,2020-02-14,3380.1599
US,2020-02-13,3373.9399
US,2020-02-12,3379.4500
US,2020-02-11,3357.7500
US,2020-02-10,3352.0901
US,2020-02-07,3327.7100
US,2020-02-06,3345.7800
US,2020-02-05,3334.6899
US,2020-02-04,3297.5901
US,2020-02-03,3248.9199
US,2020-01-31,3225.5200
US,2020-01-30,3283.6599
US,2020-01-29,3273.3999
US,2020-01-28,3276.2400
US,2020-01-27,3243.6299
US,2020-01-24,3295.4700
US,2020-01-23,3325.5400
US,2020-01-22,3321.7500
US,2020-01-21,3320.7900
US,2020-01-17,3329.6201
US,2020-01-16,3316.8101
US,2020-01-15,3289.2900
US,2020-01-14,3283.1499
US,2020-01-13,3288.1299
US,2020-01-10,3265.3501
US,2020-01-09,3274.7000
US,2020-01-08,3253.0500
US,2020-01-07,3237.1799
US,2020-01-06,3246.2800
US,2020-01-03,3234.8501
US,2020-01-02,3257.8501
US,2019-12-31,3230.7800
US,2019-12-30,3221.2900
US,2019-12-27,3240.0200
US,2019-12-26,3239.9099
US,2019-12-24,3223.3799
US,2019-12-23,3224.0100
US,2019-12-20,3221.2200
US,2019-12-19,3205.3701
US,2019-12-18,3191.1399
US,2019-12-17,3192.5200
US,2019-12-16,3191.4500
US,2019-12-13,3168.8000
US,2019-12-12,3168.5701
US,2019-12-11,3141.6299
US,2019-12-10,3132.5200
US,2019-12-09,3135.9600
US,2019-12-06,3145.9099
US,2019-12-05,3117.4299
US,2019-12-04,3112.7600
US,2019-12-03,3093.2000
US,2019-12-02,3113.8701
US,2019-11-29,3140.9800
US,2019-11-27,3153.6299
US,2019-11-26,3140.5200
US,2019-11-25,3133.6399
US,2019-11-22,3110.2900
US,2019-11-21,3103.5400
US,2019-11-20,3108.4600
US,2019-11-19,3120.1799
US,2019-11-18,3122.0300
US,2019-11-15,3120.4600
US,2019-11-14,3096.6299
US,2019-11-13,3094.0400
US,2019-11-12,3091.8401
US,2019-11-11,3087.0100
US,2019-11-08,3093.0801
US,2019-11-07,3085.1799
US,2019-11-06,3076.7800
US,2019-11-05,3074.6201
US,2019-11-04,3078.2700
US,2019-11-01,3066.9099
US,2019-10-31,3037.5601
US,2019-10-30,3046.7700
US,2019-10-29,3036.8899
US,2019-10-28,3039.4199
US,2019-10-25,3022.5500
US,2019-10-24,3010.2900
US,2019-10-23,3004.5200
US,2019-10-22,2995.9900
US,2019-10-21,3006.7200
US,2019-10-18,2986.2000
US,2019-10-17,2997.9500
US,2019-10-16,2989.6899
US,2019-10-15,2995.6799
KR,2020-03-06,26.5100
KR,2020-03-05,26.8900
KR,2020-03-04,27.1890
KR,2020-03-03,26.3700
KR,2020-03-02,26.4800
KR,2020-02-28,26.5000
KR,2020-02-27,26.8100
KR,2020-02-26,27.5100
KR,2020-02-25,26.9800
KR,2020-02-24,27.1600
KR,2020-02-21,28.4700
KR,2020-02-20,28.9000
KR,2020-02-19,29.8000
KR,2020-02-18,29.8066
KR,2020-02-14,30.2900
KR,2020-02-13,30.0600
KR,2020-02-12,30.5400
KR,2020-02-11,30.0300
KR,2020-02-10,29.6450
KR,2020-02-07,29.5200
KR,2020-02-06,30.0000
KR,2020-02-05,29.1900
KR,2020-02-04,28.8800
KR,2020-02-03,28.0000
KR,2020-01-31,27.4800
KR,2020-01-30,28.4400
KR,2020-01-29,29.0714
KR,2020-01-28,29.1600
KR,2020-01-27,29.0000
KR,2020-01-24,30.0750
KR,2020-01-23,30.1500
KR,2020-01-22,30.5200
KR,2020-01-21,30.0505
KR,2020-01-17,30.4449
KR,2020-01-16,30.4700
KR,2020-01-15,30.1400
KR,2020-01-14,30.3800
KR,2020-01-13,30.3951
KR,2020-01-10,29.9780
KR,2020-01-09,29.7100
KR,2020-01-08,29.5200
KR,2020-01-07,29.3900
KR,2020-01-06,29.1900
KR,2020-01-03,29.3100
KR,2020-01-02,29.7800
KR,2019-12-31,29.8300
KR,2019-12-30,29.7600
KR,2019-12-27,29.7876
KR,2019-12-26,29.4900
KR,2019-12-24,29.2800
KR,2019-12-23,29.5200
KR,2019-12-20,29.5800
KR,2019-12-19,29.5000
KR,2019-12-18,29.3200
KR,2019-12-17,29.3800
KR,2019-12-16,28.9500
KR,2019-12-13,28.6600
KR,2019-12-12,28.8000
KR,2019-12-11,28.0300
KR,2019-12-10,27.6500
KR,2019-12-09,27.4100
KR,2019-12-06,27.7039
KR,2019-12-05,27.3600
KR,2019-12-04,27.4700
KR,2019-12-03,27.4899
KR,2019-12-02,27.7100
KR,2019-11-29,27.8953
KR,2019-11-27,28.5000
KR,2019-11-26,28.5000
KR,2019-11-25,28.5500
KR,2019-11-22,28.0700
KR,2019-11-21,28.0800
KR,2019-11-20,28.7297
KR,2019-11-19,29.3800
KR,2019-11-18,29.1700
KR,2019-11-15,29.5100
KR,2019-11-14,29.0300
KR,2019-11-13,28.7500
KR,2019-11-12,29.0000
KR,2019-11-11,28.8600
KR,2019-11-08,29.3200
KR,2019-11-07,29.3200
KR,2019-11-06,28.9400
KR,2019-11-05,29.1000
KR,2019-11-04,28.8200
KR,2019-11-01,28.4100
KR,2019-10-31,27.9500
KR,2019-10-30,28.1800
KR,2019-10-29,28.1600
KR,2019-10-28,28.2500
KR,2019-10-25,28.0200
KR,2019-10-24,28.0300
KR,2019-10-23,28.0300
KR,2019-10-22,28.1000
KR,2019-10-21,27.8700
KR,2019-10-18,27.5500
KR,2019-10-17,27.8200
KR,2019-10-16,27.6501
KR,2019-10-15,27.8000
KR,2019-10-14,27.3500
JP,2020-03-06,52.6000
JP,2020-03-05,53.1100
JP,2020-03-04,54.0900
JP,2020-03-03,52.9400
JP,2020-03-02,53.6300
JP,2020-02-28,52.9600
JP,2020-02-27,53.0200
JP,2020-02-26,54.9000
JP,2020-02-25,54.6300
JP,2020-02-24,54.7200
JP,2020-02-21,56.6300
JP,2020-02-20,57.1100
JP,2020-02-19,57.4800
JP,2020-02-18,57.5800
JP,2020-02-14,58.4500
JP,2020-02-13,58.8900
JP,2020-02-12,59.4100
JP,2020-02-11,59.7000
JP,2020-02-10,59.4000
JP,2020-02-07,59.4700
JP,2020-02-06,60.0500
JP,2020-02-05,59.6000
JP,2020-02-04,59.0700
JP,2020-02-03,58.1900
JP,2020-01-31,57.7500
JP,2020-01-30,58.7100
JP,2020-01-29,58.7900
JP,2020-01-28,58.9800
JP,2020-01-27,58.4600
JP,2020-01-24,59.5300
JP,2020-01-23,59.7600
JP,2020-01-22,59.6900
JP,2020-01-21,59.4200
JP,2020-01-17,59.7400
JP,2020-01-16,59.7000
JP,2020-01-15,59.6600
JP,2020-01-14,59.8800
JP,2020-01-13,59.8600
JP,2020-01-10,59.5200
JP,2020-01-09,59.9400
JP,2020-01-08,59.5200
JP,2020-01-07,59.5100
JP,2020-01-06,59.4100
JP,2020-01-03,59.2000
JP,2020-01-02,59.8600
JP,2019-12-31,59.2400
JP,2019-12-30,59.0500
JP,2019-12-27,59.5800
JP,2019-12-26,59.6900
JP,2019-12-24,59.5300
JP,2019-12-23,59.7700
JP,2019-12-20,59.8200
JP,2019-12-19,59.8600
JP,2019-12-18,59.9200
JP,2019-12-17,60.1600
JP,2019-12-16,60.2900
JP,2019-12-13,60.7300
JP,2019-12-12,60.5700
JP,2019-12-11,60.4200
JP,2019-12-10,60.2900
JP,2019-12-09,60.3200
JP,2019-12-06,60.6600
JP,2019-12-05,59.9700
JP,2019-12-04,60.2100
JP,2019-12-03,59.5400
JP,2019-12-02,59.3100
JP,2019-11-29,59.4300
JP,2019-11-27,60.0000
JP,2019-11-26,59.8800
JP,2019-11-25,59.9800
JP,2019-11-22,59.5700
JP,2019-11-21,59.5300
JP,2019-11-20,59.4700
JP,2019-11-19,59.6500
JP,2019-11-18,59.8400
JP,2019-11-15,59.7900
JP,2019-11-14,59.4400
JP,2019-11-13,59.7000
JP,2019-11-12,59.9100
JP,2019-11-11,59.7800
JP,2019-11-08,59.9300
JP,2019-11-07,59.9600
JP,2019-11-06,59.6100
JP,2019-11-05,59.7400
JP,2019-11-04,59.6600
JP,2019-11-01,59.2600
JP,2019-10-31,58.6800
JP,2019-10-30,58.6700
JP,2019-10-29,58.5100
JP,2019-10-28,58.2600
JP,2019-10-25,58.0900
JP,2019-10-24,58.1200
JP,2019-10-23,58.0900
JP,2019-10-22,57.8500
JP,2019-10-21,57.7800
JP,2019-10-18,57.3700
JP,2019-10-17,57.4800
JP,2019-10-16,57.6300
JP,2019-10-15,57.7500
JP,2019-10-14,56.9000
SG,2020-03-06,21.4000
SG,2020-03-05,21.6000
SG,2020-03-04,22.0000
SG,2020-03-03,21.8500
SG,2020-03-02,21.8000
SG,2020-02-28,21.8300
SG,2020-02-27,21.9600
SG,2020-02-26,22.2900
SG,2020-02-25,22.2700
SG,2020-02-24,22.2100
SG,2020-02-21,22.6500
SG,2020-02-20,22.6800
SG,2020-02-19,23.0300
SG,2020-02-18,22.8900
SG,2020-02-14,23.0600
SG,2020-02-13,23.1200
SG,2020-02-12,23.5400
SG,2020-02-11,23.0000
SG,2020-02-10,22.7700
SG,2020-02-07,22.6600
SG,2020-02-06,23.2300
SG,2020-02-05,23.2500
SG,2020-02-04,23.0500
SG,2020-02-03,22.8400
SG,2020-01-31,22.8900
SG,2020-01-30,23.4100
SG,2020-01-29,23.4100
SG,2020-01-28,23.5600
SG,2020-01-27,23.1600
SG,2020-01-24,23.9600
SG,2020-01-23,24.0400
SG,2020-01-22,24.2300
SG,2020-01-21,24.1800
SG,2020-01-17,24.5400
SG,2020-01-16,24.5100
SG,2020-01-15,24.3500
SG,2020-01-14,24.5300
SG,2020-01-13,24.4600
SG,2020-01-10,24.3000
SG,2020-01-09,24.2100
SG,2020-01-08,24.3500
SG,2020-01-07,24.2000
SG,2020-01-06,24.0900
SG,2020-01-03,24.1100
SG,2020-01-02,24.4500
SG,2019-12-31,24.1400
SG,2019-12-30,23.9400
SG,2019-12-27,24.0200
SG,2019-12-26,24.0500
SG,2019-12-24,23.9500
SG,2019-12-23,23.9900
SG,2019-12-20,23.9800
SG,2019-12-19,23.9600
SG,2019-12-18,23.9100
SG,2019-12-17,23.8000
SG,2019-12-16,23.8900
SG,2019-12-13,24.5400
SG,2019-12-12,24.6000
SG,2019-12-11,24.3300
SG,2019-12-10,24.0300
SG,2019-12-09,24.0400
SG,2019-12-06,24.3100
SG,2019-12-05,24.0700
SG,2019-12-04,23.9500
SG,2019-12-03,23.7700
SG,2019-12-02,23.9600
SG,2019-11-29,24.0800
SG,2019-11-27,24.3600
SG,2019-11-26,24.3900
SG,2019-11-25,24.4700
SG,2019-11-22,24.5000
SG,2019-11-21,24.3100
SG,2019-11-20,24.5100
SG,2019-11-19,24.6100
SG,2019-11-18,24.7400
SG,2019-11-15,24.6500
SG,2019-11-14,24.5600
SG,2019-11-13,24.5500
SG,2019-11-12,24.6000
SG,2019-11-11,24.6200
SG,2019-11-08,24.7400
SG,2019-11-07,24.9000
SG,2019-11-06,24.7100
SG,2019-11-05,24.7500
SG,2019-11-04,24.6400
SG,2019-11-01,24.5600
SG,2019-10-31,24.3100
SG,2019-10-30,24.2800
SG,2019-10-29,24.1200
SG,2019-10-28,24.2400
SG,2019-10-25,24.1000
SG,2019-10-24,23.8700
SG,2019-10-23,23.7300
SG,2019-10-22,23.8200
SG,2019-10-21,23.7500
SG,2019-10-18,23.4000
SG,2019-10-17,23.6200
SG,2019-10-16,23.5800
SG,2019-10-15,23.5200
SG,2019-10-14,23.4200
AU,2020-03-06,19.7800
AU,2020-03-05,20.1600
AU,2020-03-04,20.7700
AU,2020-03-03,20.2200
AU,2020-03-02,20.4200
AU,2020-02-28,20.1200
AU,2020-02-27,20.6900
AU,2020-02-26,21.1900
AU,2020-02-25,21.4600
AU,2020-02-24,21.7700
AU,2020-02-21,22.7400
AU,2020-02-20,22.9200
AU,2020-02-19,23.1000
AU,2020-02-18,22.9800
AU,2020-02-14,23.0500
AU,2020-02-13,22.9900
AU,2020-02-12,23.1200
AU,2020-02-11,22.8300
AU,2020-02-10,22.6700
AU,2020-02-07,22.5900
AU,2020-02-06,22.8800
AU,2020-02-05,22.8400
AU,2020-02-04,22.7000
AU,2020-02-03,22.3100
AU,2020-01-31,22.2600
AU,2020-01-30,22.8300
AU,2020-01-29,22.8400
AU,2020-01-28,22.9400
AU,2020-01-27,22.7500
AU,2020-01-24,23.2500
AU,2020-01-23,23.4400
AU,2020-01-22,23.4600
AU,2020-01-21,23.3300
AU,2020-01-17,23.5200
AU,2020-01-16,23.5400
AU,2020-01-15,23.2800
AU,2020-01-14,23.1700
AU,2020-01-13,23.0300
AU,2020-01-10,22.8500
AU,2020-01-09,22.7300
AU,2020-01-08,22.7200
AU,2020-01-07,22.5900
AU,2020-01-06,22.6200
AU,2020-01-03,22.5000
AU,2020-01-02,22.7400
AU,2019-12-31,22.6400
AU,2019-12-30,22.7200
AU,2019-12-27,22.7500
AU,2019-12-26,22.7900
AU,2019-12-24,22.6500
AU,2019-12-23,22.6300
AU,2019-12-20,22.6100
AU,2019-12-19,22.6000
AU,2019-12-18,22.6200
AU,2019-12-17,22.6100
AU,2019-12-16,22.8200
AU,2019-12-13,22.8700
AU,2019-12-12,22.8900
AU,2019-12-11,22.7500
AU,2019-12-10,22.4800
AU,2019-12-09,22.5500
AU,2019-12-06,22.6600
AU,2019-12-05,22.4600
AU,2019-12-04,22.5000
AU,2019-12-03,22.3300
AU,2019-12-02,22.7300
AU,2019-11-29,22.8300
AU,2019-11-27,22.9700
AU,2019-11-26,22.6900
AU,2019-11-25,22.6200
AU,2019-11-22,22.5100
AU,2019-11-21,22.4100
AU,2019-11-20,22.4400
AU,2019-11-19,22.8500
AU,2019-11-18,22.7400
AU,2019-11-15,22.8100
AU,2019-11-14,22.6100
AU,2019-11-13,22.6200
AU,2019-11-12,22.8600
AU,2019-11-11,22.9000
AU,2019-11-08,22.7700
AU,2019-11-07,22.8400
AU,2019-11-06,22.6000
AU,2019-11-05,22.7300
AU,2019-11-04,22.6900
AU,2019-11-01,22.7600
AU,2019-10-31,22.5300
AU,2019-10-30,22.7200
AU,2019-10-29,22.7400
AU,2019-10-28,22.8000
AU,2019-10-25,22.7000
AU,2019-10-24,22.6300
AU,2019-10-23,22.6200
AU,2019-10-22,22.5100
AU,2019-10-21,22.5100
AU,2019-10-18,22.3200
AU,2019-10-17,22.3500
AU,2019-10-16,22.3200
AU,2019-10-15,22.2400
AU,2019-10-14,21.9600
MY,2020-03-06,25.2500
MY,2020-03-05,25.5000
MY,2020-03-04,25.9400
MY,2020-03-03,25.5900
MY,2020-03-02,25.7000
MY,2020-02-28,25.4700
MY,2020-02-27,25.5400
MY,2020-02-26,25.6600
MY,2020-02-25,25.3700
MY,2020-02-24,25.1800
MY,2020-02-21,26.4900
MY,2020-02-20,26.4400
MY,2020-02-19,26.7200
